        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F),            C⁻¹[i][3] (1/F),            C⁻¹[i][4] (1/F),            C⁻¹[i][5] (1/F),            C⁻¹[i][6] (1/F)
 1.00e+00,        +5.766297154874e+12,        +4.412454684452e+12,        +3.609816639686e+12,        +3.019379090037e+12,        +2.561874211418e+12,        +2.248509802761e+12
 2.00e+00,        +4.412454684452e+12,        +5.471198186990e+12,        +4.281208040724e+12,        +3.508906224651e+12,        +2.942767019406e+12,        +2.564054405915e+12
 3.00e+00,        +3.609816639686e+12,        +4.281208040724e+12,        +5.462807278128e+12,        +4.276715040993e+12,        +3.512117496404e+12,        +3.024755783851e+12
 4.00e+00,        +3.019379090037e+12,        +3.508906224651e+12,        +4.276715040993e+12,        +5.463823655333e+12,        +4.286526508896e+12,        +3.617727170692e+12
 5.00e+00,        +2.561874211418e+12,        +2.942767019406e+12,        +3.512117496404e+12,        +4.286526508896e+12,        +5.476763294066e+12,        +4.422287419720e+12
 6.00e+00,        +2.248509802761e+12,        +2.564054405915e+12,        +3.024755783851e+12,        +3.617727170692e+12,        +4.422287419720e+12,        +5.782605258328e+12
