        i,                C[i][1] (F),                C[i][2] (F),                C[i][3] (F),                C[i][4] (F),                C[i][5] (F),                C[i][6] (F)
 1.00e+00,        +4.561962463992e-13,        -3.396931335389e-13,        -2.145038053435e-14,        -9.231562769777e-15,        -5.237026440927e-15,        -5.764007850997e-15
 2.00e+00,        -3.396931335389e-13,        +7.289753588799e-13,        -3.277784178940e-13,        -1.553065744103e-14,        -6.235926479846e-15,        -5.208160116365e-15
 3.00e+00,        -2.145038053435e-14,        -3.277784178940e-13,        +7.251898851540e-13,        -3.270027584681e-13,        -1.553261484442e-14,        -9.191836247348e-15
 4.00e+00,        -9.231562769777e-15,        -1.553065744103e-14,        -3.270027584681e-13,        +7.260073373950e-13,        -3.285987040386e-13,        -2.138419536741e-14
 5.00e+00,        -5.237026440927e-15,        -6.235926479846e-15,        -1.553261484442e-14,        -3.285987040386e-13,        +7.297039932835e-13,        -3.395412820701e-13
 6.00e+00,        -5.764007850997e-15,        -5.208160116365e-15,        -9.191836247348e-15,        -2.138419536741e-14,        -3.395412820701e-13,        +4.553360814123e-13
