        i,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +8.593147744168e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 2.00e+00,        +1.373135577102e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 3.00e+00,        +1.366005063586e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 4.00e+00,        +1.367544858781e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 5.00e+00,        +1.374508070439e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 6.00e+00,        +8.576945232913e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
