Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.190691
1.359356e+06,-0.000009,-0.259217
1.847850e+06,-0.000016,-0.352368
2.511886e+06,-0.000030,-0.478993
3.414549e+06,-0.000055,-0.651119
4.641589e+06,-0.000102,-0.885096
6.309573e+06,-0.000188,-1.203145
8.576959e+06,-0.000347,-1.635461
1.165914e+07,-0.000642,-2.223069
1.584893e+07,-0.001185,-3.021680
2.154435e+07,-0.002189,-4.106879
2.928645e+07,-0.004042,-5.581051
3.981072e+07,-0.007455,-7.582475
5.411695e+07,-0.013732,-10.296862
7.356423e+07,-0.025225,-13.971075
1.000000e+08,-0.046110,-18.926984
1.359356e+08,-0.083540,-25.569185
1.847850e+08,-0.148998,-34.371297
2.511886e+08,-0.258706,-45.811161
3.414549e+08,-0.430125,-60.216161
4.641589e+08,-0.670685,-77.516860
6.309573e+08,-0.961715,-97.039928
8.576959e+08,-1.255535,-117.605894
1.165914e+09,-1.499095,-138.028339
1.584893e+09,-1.661766,-157.667695
2.154435e+09,-1.738085,-176.608686
2.928645e+09,-1.732464,164.569202
3.981072e+09,-1.648203,145.204709
5.411695e+09,-1.490360,124.991733
7.356423e+09,-1.278084,104.309714
1.000000e+10,-1.050049,84.215792
