Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.180518
1.359356e+06,-0.000008,-0.245389
1.847850e+06,-0.000014,-0.333570
2.511886e+06,-0.000027,-0.453440
3.414549e+06,-0.000049,-0.616384
4.641589e+06,-0.000091,-0.837880
6.309573e+06,-0.000168,-1.138964
8.576959e+06,-0.000311,-1.548224
1.165914e+07,-0.000575,-2.104503
1.584893e+07,-0.001062,-2.860554
2.154435e+07,-0.001961,-3.887971
2.928645e+07,-0.003621,-5.283780
3.981072e+07,-0.006682,-7.179134
5.411695e+07,-0.012312,-9.750468
7.356423e+07,-0.022633,-13.233036
1.000000e+08,-0.041427,-17.935349
1.359356e+08,-0.075235,-24.249524
1.847850e+08,-0.134745,-32.644765
2.511886e+08,-0.235600,-43.617795
3.414549e+08,-0.396037,-57.561664
4.641589e+08,-0.627207,-74.536088
6.309573e+08,-0.916629,-94.033344
8.576959e+08,-1.220080,-114.988583
1.165914e+09,-1.480236,-136.202515
1.584893e+09,-1.657454,-156.919739
2.154435e+09,-1.739073,-177.091757
2.928645e+09,-1.726481,162.813603
3.981072e+09,-1.623872,142.256043
5.411695e+09,-1.441810,121.098981
7.356423e+09,-1.208994,99.907667
1.000000e+10,-0.971774,79.824416
