Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.181312
1.359356e+06,-0.000008,-0.246467
1.847850e+06,-0.000015,-0.335036
2.511886e+06,-0.000027,-0.455433
3.414549e+06,-0.000050,-0.619093
4.641589e+06,-0.000092,-0.841563
6.309573e+06,-0.000170,-1.143970
8.576959e+06,-0.000314,-1.555028
1.165914e+07,-0.000580,-2.113750
1.584893e+07,-0.001071,-2.873120
2.154435e+07,-0.001979,-3.905044
2.928645e+07,-0.003653,-5.306966
3.981072e+07,-0.006740,-7.210595
5.411695e+07,-0.012420,-9.793094
7.356423e+07,-0.022830,-13.290627
1.000000e+08,-0.041783,-18.012764
1.359356e+08,-0.075867,-24.352630
1.847850e+08,-0.135833,-32.779845
2.511886e+08,-0.237374,-43.789774
3.414549e+08,-0.398674,-57.770436
4.641589e+08,-0.630602,-74.771286
6.309573e+08,-0.920177,-94.270797
8.576959e+08,-1.222861,-115.193616
1.165914e+09,-1.481651,-136.340144
1.584893e+09,-1.657681,-156.963915
2.154435e+09,-1.738950,-177.027896
2.928645e+09,-1.727133,162.989540
3.981072e+09,-1.626318,142.536078
5.411695e+09,-1.446508,121.458880
7.356423e+09,-1.215492,100.306771
1.000000e+10,-0.978981,80.216314
