Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.186495
1.359356e+06,-0.000008,-0.253513
1.847850e+06,-0.000015,-0.344614
2.511886e+06,-0.000028,-0.468452
3.414549e+06,-0.000053,-0.636791
4.641589e+06,-0.000097,-0.865619
6.309573e+06,-0.000180,-1.176670
8.576959e+06,-0.000332,-1.599475
1.165914e+07,-0.000614,-2.174160
1.584893e+07,-0.001134,-2.955215
2.154435e+07,-0.002094,-4.016580
2.928645e+07,-0.003865,-5.458432
3.981072e+07,-0.007131,-7.416112
5.411695e+07,-0.013136,-10.071517
7.356423e+07,-0.024138,-13.666745
1.000000e+08,-0.044147,-18.518216
1.359356e+08,-0.080064,-25.025508
1.847850e+08,-0.143045,-33.660692
2.511886e+08,-0.249089,-44.909845
3.414549e+08,-0.416011,-59.127872
4.641589e+08,-0.652806,-76.298176
6.309573e+08,-0.943297,-95.813094
8.576959e+08,-1.241073,-116.535625
1.165914e+09,-1.491273,-137.270042
1.584893e+09,-1.659756,-157.328793
2.154435e+09,-1.738379,-176.744938
2.928645e+09,-1.730457,163.942778
3.981072e+09,-1.639567,144.115825
5.411695e+09,-1.472671,123.529780
7.356423e+09,-1.252411,102.635647
1.000000e+10,-1.020517,82.528495
