Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.188100
1.359356e+06,-0.000008,-0.255695
1.847850e+06,-0.000016,-0.347580
2.511886e+06,-0.000029,-0.472484
3.414549e+06,-0.000054,-0.642272
4.641589e+06,-0.000099,-0.873070
6.309573e+06,-0.000183,-1.186797
8.576959e+06,-0.000338,-1.613241
1.165914e+07,-0.000624,-2.192869
1.584893e+07,-0.001153,-2.980640
2.154435e+07,-0.002130,-4.051123
2.928645e+07,-0.003932,-5.505339
3.981072e+07,-0.007254,-7.479756
5.411695e+07,-0.013363,-10.157731
7.356423e+07,-0.024552,-13.783194
1.000000e+08,-0.044894,-18.674666
1.359356e+08,-0.081388,-25.233686
1.847850e+08,-0.145315,-33.933006
2.511886e+08,-0.252765,-45.255721
3.414549e+08,-0.421426,-59.546464
4.641589e+08,-0.659705,-76.768662
6.309573e+08,-0.950465,-96.289508
8.576959e+08,-1.246774,-116.955372
1.165914e+09,-1.494434,-137.573707
1.584893e+09,-1.660647,-157.475366
2.154435e+09,-1.738308,-176.713591
2.928645e+09,-1.731154,164.156903
3.981072e+09,-1.642646,144.501287
5.411695e+09,-1.479011,124.052357
7.356423e+09,-1.261595,103.235380
1.000000e+10,-1.031027,83.132601
