Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.190464
1.359356e+06,-0.000009,-0.258908
1.847850e+06,-0.000016,-0.351947
2.511886e+06,-0.000030,-0.478421
3.414549e+06,-0.000055,-0.650342
4.641589e+06,-0.000101,-0.884040
6.309573e+06,-0.000188,-1.201709
8.576959e+06,-0.000346,-1.633509
1.165914e+07,-0.000640,-2.220416
1.584893e+07,-0.001183,-3.018074
2.154435e+07,-0.002184,-4.101980
2.928645e+07,-0.004032,-5.574399
3.981072e+07,-0.007437,-7.573449
5.411695e+07,-0.013699,-10.284635
7.356423e+07,-0.025165,-13.954560
1.000000e+08,-0.046002,-18.904796
1.359356e+08,-0.083349,-25.539661
1.847850e+08,-0.148670,-34.332674
2.511886e+08,-0.258176,-45.762081
3.414549e+08,-0.429345,-60.156666
4.641589e+08,-0.669689,-77.449660
6.309573e+08,-0.960670,-96.970970
8.576959e+08,-1.254676,-117.543052
1.165914e+09,-1.498570,-137.978727
1.584893e+09,-1.661560,-157.635784
2.154435e+09,-1.738062,-176.596281
2.928645e+09,-1.732445,164.562144
3.981072e+09,-1.648025,145.179723
5.411695e+09,-1.489926,124.952243
7.356423e+09,-1.277413,104.261332
1.000000e+10,-1.049262,84.165325
