Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.186614
1.359356e+06,-0.000008,-0.253675
1.847850e+06,-0.000015,-0.344834
2.511886e+06,-0.000029,-0.468752
3.414549e+06,-0.000053,-0.637198
4.641589e+06,-0.000097,-0.866173
6.309573e+06,-0.000180,-1.177423
8.576959e+06,-0.000333,-1.600499
1.165914e+07,-0.000614,-2.175551
1.584893e+07,-0.001135,-2.957106
2.154435e+07,-0.002096,-4.019148
2.928645e+07,-0.003870,-5.461920
3.981072e+07,-0.007140,-7.420845
5.411695e+07,-0.013153,-10.077929
7.356423e+07,-0.024169,-13.675408
1.000000e+08,-0.044203,-18.529861
1.359356e+08,-0.080163,-25.041018
1.847850e+08,-0.143215,-33.681017
2.511886e+08,-0.249365,-44.935745
3.414549e+08,-0.416421,-59.159403
4.641589e+08,-0.653334,-76.334006
6.309573e+08,-0.943860,-95.850130
8.576959e+08,-1.241542,-116.569626
1.165914e+09,-1.491562,-137.297049
1.584893e+09,-1.659870,-157.346230
2.154435e+09,-1.738392,-176.751724
2.928645e+09,-1.730468,163.946635
3.981072e+09,-1.639668,144.129414
5.411695e+09,-1.472912,123.551099
7.356423e+09,-1.252776,102.661521
1.000000e+10,-1.020937,82.555222
