Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.182253
1.359356e+06,-0.000008,-0.247747
1.847850e+06,-0.000015,-0.336776
2.511886e+06,-0.000027,-0.457798
3.414549e+06,-0.000050,-0.622308
4.641589e+06,-0.000093,-0.845933
6.309573e+06,-0.000172,-1.149910
8.576959e+06,-0.000317,-1.563103
1.165914e+07,-0.000586,-2.124725
1.584893e+07,-0.001083,-2.888035
2.154435e+07,-0.002000,-3.925309
2.928645e+07,-0.003692,-5.334487
3.981072e+07,-0.006811,-7.247943
5.411695e+07,-0.012549,-9.843703
7.356423e+07,-0.023067,-13.359027
1.000000e+08,-0.042211,-18.104767
1.359356e+08,-0.076630,-24.475305
1.847850e+08,-0.137149,-32.940911
2.511886e+08,-0.239526,-43.995679
3.414549e+08,-0.401900,-58.022378
4.641589e+08,-0.634826,-75.059586
6.309573e+08,-0.924749,-94.571303
8.576959e+08,-1.226734,-115.471726
1.165914e+09,-1.484062,-136.562197
1.584893e+09,-1.658623,-157.107067
2.154435e+09,-1.739044,-177.082049
2.928645e+09,-1.727243,163.024500
3.981072e+09,-1.627218,142.651698
5.411695e+09,-1.448585,121.636902
7.356423e+09,-1.218546,100.519454
1.000000e+10,-0.982395,80.432879
