Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.185415
1.359356e+06,-0.000008,-0.252045
1.847850e+06,-0.000015,-0.342618
2.511886e+06,-0.000028,-0.465739
3.414549e+06,-0.000052,-0.633103
4.641589e+06,-0.000096,-0.860606
6.309573e+06,-0.000178,-1.169856
8.576959e+06,-0.000328,-1.590213
1.165914e+07,-0.000607,-2.161572
1.584893e+07,-0.001120,-2.938108
2.154435e+07,-0.002069,-3.993338
2.928645e+07,-0.003821,-5.426870
3.981072e+07,-0.007048,-7.373290
5.411695e+07,-0.012985,-10.013508
7.356423e+07,-0.023863,-13.588394
1.000000e+08,-0.043650,-18.412951
1.359356e+08,-0.079182,-24.885445
1.847850e+08,-0.141531,-33.477497
2.511886e+08,-0.246636,-44.677236
3.414549e+08,-0.412397,-58.846610
4.641589e+08,-0.648206,-75.982829
6.309573e+08,-0.938543,-95.495860
8.576959e+08,-1.237357,-116.260817
1.165914e+09,-1.489322,-137.080512
1.584893e+09,-1.659338,-157.255084
2.154435e+09,-1.738500,-176.803559
2.928645e+09,-1.729800,163.747056
3.981072e+09,-1.636905,143.791106
5.411695e+09,-1.467360,123.102518
7.356423e+09,-1.244837,102.152716
1.000000e+10,-1.011913,82.046484
