Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.181138
1.359356e+06,-0.000008,-0.246231
1.847850e+06,-0.000015,-0.334715
2.511886e+06,-0.000027,-0.454996
3.414549e+06,-0.000050,-0.618500
4.641589e+06,-0.000092,-0.840756
6.309573e+06,-0.000170,-1.142873
8.576959e+06,-0.000313,-1.553537
1.165914e+07,-0.000579,-2.111724
1.584893e+07,-0.001069,-2.870367
2.154435e+07,-0.001975,-3.901303
2.928645e+07,-0.003646,-5.301885
3.981072e+07,-0.006727,-7.203700
5.411695e+07,-0.012396,-9.783750
7.356423e+07,-0.022786,-13.277998
1.000000e+08,-0.041704,-17.995777
1.359356e+08,-0.075727,-24.329976
1.847850e+08,-0.135591,-32.750094
2.511886e+08,-0.236977,-43.751726
3.414549e+08,-0.398078,-57.723852
4.641589e+08,-0.629821,-74.717931
6.309573e+08,-0.919330,-94.215117
8.576959e+08,-1.222141,-115.142013
1.165914e+09,-1.481202,-136.298872
1.584893e+09,-1.657505,-156.937235
2.154435e+09,-1.738932,-177.017699
2.928645e+09,-1.727113,162.983230
3.981072e+09,-1.626153,142.514838
5.411695e+09,-1.446125,121.426108
7.356423e+09,-1.214929,100.267613
1.000000e+10,-0.978352,80.176457
