Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.183372
1.359356e+06,-0.000008,-0.249267
1.847850e+06,-0.000015,-0.338843
2.511886e+06,-0.000028,-0.460607
3.414549e+06,-0.000051,-0.626127
4.641589e+06,-0.000094,-0.851125
6.309573e+06,-0.000174,-1.156967
8.576959e+06,-0.000321,-1.572695
1.165914e+07,-0.000593,-2.137761
1.584893e+07,-0.001096,-2.905751
2.154435e+07,-0.002024,-3.949378
2.928645e+07,-0.003737,-5.367172
3.981072e+07,-0.006894,-7.292289
5.411695e+07,-0.012702,-9.903775
7.356423e+07,-0.023346,-13.440164
1.000000e+08,-0.042715,-18.213766
1.359356e+08,-0.077524,-24.620320
1.847850e+08,-0.138684,-33.130520
2.511886e+08,-0.242015,-44.236221
3.414549e+08,-0.405567,-58.312531
4.641589e+08,-0.639475,-75.382773
6.309573e+08,-0.929477,-94.890805
8.576959e+08,-1.230243,-115.735781
1.165914e+09,-1.485589,-136.718716
1.584893e+09,-1.658558,-157.116513
2.154435e+09,-1.738736,-176.920811
2.928645e+09,-1.728478,163.364867
3.981072e+09,-1.631642,143.160756
5.411695e+09,-1.456959,122.276956
7.356423e+09,-1.230133,101.223957
1.000000e+10,-0.995334,81.123619
