Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.185400
1.359356e+06,-0.000008,-0.252024
1.847850e+06,-0.000015,-0.342591
2.511886e+06,-0.000028,-0.465702
3.414549e+06,-0.000052,-0.633052
4.641589e+06,-0.000096,-0.860538
6.309573e+06,-0.000178,-1.169762
8.576959e+06,-0.000328,-1.590086
1.165914e+07,-0.000606,-2.161399
1.584893e+07,-0.001120,-2.937873
2.154435e+07,-0.002069,-3.993019
2.928645e+07,-0.003820,-5.426437
3.981072e+07,-0.007047,-7.372701
5.411695e+07,-0.012983,-10.012711
7.356423e+07,-0.023859,-13.587317
1.000000e+08,-0.043643,-18.411504
1.359356e+08,-0.079169,-24.883516
1.847850e+08,-0.141510,-33.474969
2.511886e+08,-0.246602,-44.674011
3.414549e+08,-0.412346,-58.842680
4.641589e+08,-0.648140,-75.978355
6.309573e+08,-0.938473,-95.491226
8.576959e+08,-1.237298,-116.256554
1.165914e+09,-1.489286,-137.077121
1.584893e+09,-1.659324,-157.252893
2.154435e+09,-1.738498,-176.802708
2.928645e+09,-1.729798,163.746566
3.981072e+09,-1.636892,143.789394
5.411695e+09,-1.467329,123.099841
7.356423e+09,-1.244791,102.149476
1.000000e+10,-1.011861,82.043148
