Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.188881
1.359356e+06,-0.000009,-0.256757
1.847850e+06,-0.000016,-0.349024
2.511886e+06,-0.000029,-0.474447
3.414549e+06,-0.000054,-0.644939
4.641589e+06,-0.000100,-0.876696
6.309573e+06,-0.000184,-1.191726
8.576959e+06,-0.000341,-1.619941
1.165914e+07,-0.000629,-2.201975
1.584893e+07,-0.001163,-2.993014
2.154435e+07,-0.002148,-4.067934
2.928645e+07,-0.003965,-5.528167
3.981072e+07,-0.007314,-7.510725
5.411695e+07,-0.013473,-10.199676
7.356423e+07,-0.024753,-13.839828
1.000000e+08,-0.045257,-18.750706
1.359356e+08,-0.082031,-25.334750
1.847850e+08,-0.146415,-34.064925
2.511886e+08,-0.254537,-45.422625
3.414549e+08,-0.424013,-59.747031
4.641589e+08,-0.662948,-76.991176
6.309573e+08,-0.953734,-96.509289
8.576959e+08,-1.249219,-117.139142
1.165914e+09,-1.495584,-137.689505
1.584893e+09,-1.660744,-157.500054
2.154435e+09,-1.738146,-176.633800
2.928645e+09,-1.731769,164.346261
3.981072e+09,-1.645025,144.795388
5.411695e+09,-1.483701,124.431174
7.356423e+09,-1.268301,103.661020
1.000000e+10,-1.038720,83.557542
