Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.186883
1.359356e+06,-0.000008,-0.254041
1.847850e+06,-0.000015,-0.345331
2.511886e+06,-0.000029,-0.469427
3.414549e+06,-0.000053,-0.638116
4.641589e+06,-0.000098,-0.867422
6.309573e+06,-0.000181,-1.179120
8.576959e+06,-0.000334,-1.602805
1.165914e+07,-0.000616,-2.178686
1.584893e+07,-0.001138,-2.961366
2.154435e+07,-0.002103,-4.024937
2.928645e+07,-0.003882,-5.469783
3.981072e+07,-0.007161,-7.431518
5.411695e+07,-0.013192,-10.092400
7.356423e+07,-0.024240,-13.694986
1.000000e+08,-0.044332,-18.556241
1.359356e+08,-0.080394,-25.076313
1.847850e+08,-0.143615,-33.727653
2.511886e+08,-0.250027,-44.996086
3.414549e+08,-0.417432,-59.234949
4.641589e+08,-0.654714,-76.424336
6.309573e+08,-0.945479,-95.952462
8.576959e+08,-1.243145,-116.680099
1.165914e+09,-1.492887,-137.413336
1.584893e+09,-1.660734,-157.469350
2.154435e+09,-1.738649,-176.885680
2.928645e+09,-1.729947,163.797021
3.981072e+09,-1.638178,143.961694
5.411695e+09,-1.470377,123.368561
7.356423e+09,-1.249386,102.474524
1.000000e+10,-1.017118,82.378053
