Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.191548
1.359356e+06,-0.000009,-0.260382
1.847850e+06,-0.000016,-0.353951
2.511886e+06,-0.000030,-0.481144
3.414549e+06,-0.000056,-0.654044
4.641589e+06,-0.000103,-0.889072
6.309573e+06,-0.000190,-1.208549
8.576959e+06,-0.000350,-1.642806
1.165914e+07,-0.000647,-2.233052
1.584893e+07,-0.001196,-3.035246
2.154435e+07,-0.002209,-4.125309
2.928645e+07,-0.004078,-5.606077
3.981072e+07,-0.007522,-7.616424
5.411695e+07,-0.013855,-10.342838
7.356423e+07,-0.025449,-14.033142
1.000000e+08,-0.046513,-19.010293
1.359356e+08,-0.084254,-25.679847
1.847850e+08,-0.150217,-34.515605
2.511886e+08,-0.260662,-45.993449
3.414549e+08,-0.432966,-60.434696
4.641589e+08,-0.674223,-77.758573
6.309573e+08,-0.965258,-97.277986
8.576959e+08,-1.258174,-117.804839
1.165914e+09,-1.500348,-138.154782
1.584893e+09,-1.661898,-157.697903
2.154435e+09,-1.737920,-176.529060
2.928645e+09,-1.733069,164.764044
3.981072e+09,-1.650608,145.510410
5.411695e+09,-1.495170,125.388523
7.356423e+09,-1.285056,104.758907
1.000000e+10,-1.058140,84.667457
