Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.180360
1.359356e+06,-0.000008,-0.245173
1.847850e+06,-0.000014,-0.333277
2.511886e+06,-0.000027,-0.453042
3.414549e+06,-0.000049,-0.615843
4.641589e+06,-0.000091,-0.837145
6.309573e+06,-0.000168,-1.137965
8.576959e+06,-0.000311,-1.546866
1.165914e+07,-0.000574,-2.102657
1.584893e+07,-0.001060,-2.858045
2.154435e+07,-0.001958,-3.884562
2.928645e+07,-0.003615,-5.279150
3.981072e+07,-0.006670,-7.172851
5.411695e+07,-0.012290,-9.741953
7.356423e+07,-0.022594,-13.221527
1.000000e+08,-0.041355,-17.919867
1.359356e+08,-0.075107,-24.228873
1.847850e+08,-0.134524,-32.617637
2.511886e+08,-0.235239,-43.583083
3.414549e+08,-0.395495,-57.519130
4.641589e+08,-0.626494,-74.487317
6.309573e+08,-0.915854,-93.982380
8.576959e+08,-1.219420,-114.941291
1.165914e+09,-1.479824,-136.164668
1.584893e+09,-1.657292,-156.895298
2.154435e+09,-1.739056,-177.082494
2.928645e+09,-1.726462,162.807660
3.981072e+09,-1.623717,142.236372
5.411695e+09,-1.441455,121.068758
7.356423e+09,-1.208475,99.871667
1.000000e+10,-0.971198,79.787871
