Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.186853
1.359356e+06,-0.000008,-0.253999
1.847850e+06,-0.000015,-0.345275
2.511886e+06,-0.000029,-0.469351
3.414549e+06,-0.000053,-0.638013
4.641589e+06,-0.000098,-0.867281
6.309573e+06,-0.000180,-1.178929
8.576959e+06,-0.000333,-1.602546
1.165914e+07,-0.000616,-2.178333
1.584893e+07,-0.001138,-2.960886
2.154435e+07,-0.002102,-4.024285
2.928645e+07,-0.003880,-5.468895
3.981072e+07,-0.007158,-7.430310
5.411695e+07,-0.013187,-10.090753
7.356423e+07,-0.024231,-13.692734
1.000000e+08,-0.044314,-18.553150
1.359356e+08,-0.080361,-25.072036
1.847850e+08,-0.143554,-33.721660
2.511886e+08,-0.249917,-44.987528
3.414549e+08,-0.417239,-59.222435
4.641589e+08,-0.654391,-76.405610
6.309573e+08,-0.944983,-95.924117
8.576959e+08,-1.242478,-116.637520
1.165914e+09,-1.492138,-137.350948
1.584893e+09,-1.660097,-157.381003
2.154435e+09,-1.738417,-176.765215
2.928645e+09,-1.730491,163.954408
3.981072e+09,-1.639869,144.156634
5.411695e+09,-1.473393,123.593773
7.356423e+09,-1.253506,102.713313
1.000000e+10,-1.021777,82.608728
