Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.188775
1.359356e+06,-0.000009,-0.256613
1.847850e+06,-0.000016,-0.348828
2.511886e+06,-0.000029,-0.474180
3.414549e+06,-0.000054,-0.644577
4.641589e+06,-0.000100,-0.876204
6.309573e+06,-0.000184,-1.191057
8.576959e+06,-0.000340,-1.619031
1.165914e+07,-0.000629,-2.200739
1.584893e+07,-0.001162,-2.991335
2.154435e+07,-0.002145,-4.065653
2.928645e+07,-0.003961,-5.525071
3.981072e+07,-0.007307,-7.506529
5.411695e+07,-0.013459,-10.194002
7.356423e+07,-0.024727,-13.832192
1.000000e+08,-0.045211,-18.740513
1.359356e+08,-0.081951,-25.321349
1.847850e+08,-0.146281,-34.047790
2.511886e+08,-0.254331,-45.401796
3.414549e+08,-0.423742,-59.723940
4.641589e+08,-0.662678,-76.969752
6.309573e+08,-0.953607,-96.496629
8.576959e+08,-1.249377,-117.144800
1.165914e+09,-1.496029,-137.723621
1.584893e+09,-1.661272,-157.571792
2.154435e+09,-1.738377,-176.750754
2.928645e+09,-1.731217,164.178926
3.981072e+09,-1.643202,144.577600
5.411695e+09,-1.480349,124.172123
7.356423e+09,-1.263637,103.381167
1.000000e+10,-1.033393,83.283736
