Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.181442
1.359356e+06,-0.000008,-0.246644
1.847850e+06,-0.000015,-0.335277
2.511886e+06,-0.000027,-0.455760
3.414549e+06,-0.000050,-0.619538
4.641589e+06,-0.000092,-0.842168
6.309573e+06,-0.000170,-1.144792
8.576959e+06,-0.000314,-1.556146
1.165914e+07,-0.000581,-2.115270
1.584893e+07,-0.001073,-2.875186
2.154435e+07,-0.001982,-3.907850
2.928645e+07,-0.003659,-5.310777
3.981072e+07,-0.006750,-7.215766
5.411695e+07,-0.012438,-9.800101
7.356423e+07,-0.022863,-13.300098
1.000000e+08,-0.041842,-18.025505
1.359356e+08,-0.075973,-24.369619
1.847850e+08,-0.136015,-32.802155
2.511886e+08,-0.237671,-43.818303
3.414549e+08,-0.399120,-57.805359
4.641589e+08,-0.631188,-74.811275
6.309573e+08,-0.920812,-94.312515
8.576959e+08,-1.223399,-115.232265
1.165914e+09,-1.481987,-136.371041
1.584893e+09,-1.657813,-156.983873
2.154435e+09,-1.738963,-177.035502
2.928645e+09,-1.727148,162.994303
3.981072e+09,-1.626443,142.552030
5.411695e+09,-1.446796,121.483477
7.356423e+09,-1.215915,100.336161
1.000000e+10,-0.979453,80.246232
