Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.185042
1.359356e+06,-0.000008,-0.251538
1.847850e+06,-0.000015,-0.341930
2.511886e+06,-0.000028,-0.464804
3.414549e+06,-0.000052,-0.631832
4.641589e+06,-0.000096,-0.858878
6.309573e+06,-0.000177,-1.167507
8.576959e+06,-0.000327,-1.587021
1.165914e+07,-0.000604,-2.157233
1.584893e+07,-0.001116,-2.932212
2.154435e+07,-0.002061,-3.985328
2.928645e+07,-0.003806,-5.415993
3.981072e+07,-0.007021,-7.358534
5.411695e+07,-0.012934,-9.993526
7.356423e+07,-0.023769,-13.561420
1.000000e+08,-0.043481,-18.376749
1.359356e+08,-0.078883,-24.837367
1.847850e+08,-0.141022,-33.414842
2.511886e+08,-0.245817,-44.598225
3.414549e+08,-0.411208,-58.752340
4.641589e+08,-0.646738,-75.879933
6.309573e+08,-0.937124,-95.398124
8.576959e+08,-1.236420,-116.187278
1.165914e+09,-1.489081,-137.050368
1.584893e+09,-1.659587,-157.283425
2.154435e+09,-1.738687,-176.900283
2.928645e+09,-1.729209,163.577323
3.981072e+09,-1.634856,143.551222
5.411695e+09,-1.463519,122.807083
7.356423e+09,-1.239504,101.829522
1.000000e+10,-1.005900,81.729580
