Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.185794
1.359356e+06,-0.000008,-0.252561
1.847850e+06,-0.000015,-0.343320
2.511886e+06,-0.000028,-0.466693
3.414549e+06,-0.000052,-0.634399
4.641589e+06,-0.000097,-0.862369
6.309573e+06,-0.000178,-1.172251
8.576959e+06,-0.000330,-1.593470
1.165914e+07,-0.000609,-2.165998
1.584893e+07,-0.001125,-2.944123
2.154435e+07,-0.002078,-4.001512
2.928645e+07,-0.003837,-5.437971
3.981072e+07,-0.007078,-7.388357
5.411695e+07,-0.013040,-10.033933
7.356423e+07,-0.023962,-13.616017
1.000000e+08,-0.043830,-18.450150
1.359356e+08,-0.079502,-24.935158
1.847850e+08,-0.142086,-33.543045
2.511886e+08,-0.247551,-44.761714
3.414549e+08,-0.413787,-58.951610
4.641589e+08,-0.650078,-76.106719
6.309573e+08,-0.940692,-95.632943
8.576959e+08,-1.239404,-116.403126
1.165914e+09,-1.490920,-137.221763
1.584893e+09,-1.660305,-157.393606
2.154435e+09,-1.738763,-176.942093
2.928645e+09,-1.729288,163.603877
3.981072e+09,-1.635525,143.640102
5.411695e+09,-1.465093,122.945059
7.356423e+09,-1.241862,101.995879
1.000000e+10,-1.008584,81.900512
