Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.184556
1.359356e+06,-0.000008,-0.250877
1.847850e+06,-0.000015,-0.341031
2.511886e+06,-0.000028,-0.463582
3.414549e+06,-0.000052,-0.630170
4.641589e+06,-0.000095,-0.856620
6.309573e+06,-0.000176,-1.164437
8.576959e+06,-0.000325,-1.582848
1.165914e+07,-0.000601,-2.151561
1.584893e+07,-0.001110,-2.924504
2.154435e+07,-0.002050,-3.974856
2.928645e+07,-0.003785,-5.401772
3.981072e+07,-0.006984,-7.339237
5.411695e+07,-0.012866,-9.967379
7.356423e+07,-0.023645,-13.526088
1.000000e+08,-0.043256,-18.329245
1.359356e+08,-0.078484,-24.774070
1.847850e+08,-0.140334,-33.331838
2.511886e+08,-0.244697,-44.492329
3.414549e+08,-0.409540,-58.623179
4.641589e+08,-0.644573,-75.732789
6.309573e+08,-0.934805,-95.245571
8.576959e+08,-1.234476,-116.046836
1.165914e+09,-1.487879,-136.938644
1.584893e+09,-1.659116,-157.211391
2.154435e+09,-1.738638,-176.872645
2.928645e+09,-1.729158,163.560563
3.981072e+09,-1.634424,143.494021
5.411695e+09,-1.462501,122.718080
7.356423e+09,-1.237979,101.722193
1.000000e+10,-1.004166,81.619345
