Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.181601
1.359356e+06,-0.000008,-0.246861
1.847850e+06,-0.000015,-0.335572
2.511886e+06,-0.000027,-0.456160
3.414549e+06,-0.000050,-0.620082
4.641589e+06,-0.000092,-0.842907
6.309573e+06,-0.000170,-1.145798
8.576959e+06,-0.000315,-1.557513
1.165914e+07,-0.000582,-2.117127
1.584893e+07,-0.001075,-2.877710
2.154435e+07,-0.001985,-3.911280
2.928645e+07,-0.003665,-5.315434
3.981072e+07,-0.006762,-7.222087
5.411695e+07,-0.012460,-9.808666
7.356423e+07,-0.022903,-13.311674
1.000000e+08,-0.041914,-18.041075
1.359356e+08,-0.076101,-24.390383
1.847850e+08,-0.136237,-32.829419
2.511886e+08,-0.238035,-43.853163
3.414549e+08,-0.399666,-57.848026
4.641589e+08,-0.631903,-74.860120
6.309573e+08,-0.921587,-94.363456
8.576959e+08,-1.224057,-115.279441
1.165914e+09,-1.482397,-136.408738
1.584893e+09,-1.657973,-157.008206
2.154435e+09,-1.738979,-177.044751
2.928645e+09,-1.727166,163.000158
3.981072e+09,-1.626595,142.571552
5.411695e+09,-1.447147,121.513564
7.356423e+09,-1.216431,100.372108
1.000000e+10,-0.980030,80.282828
