Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.189735
1.359356e+06,-0.000009,-0.257917
1.847850e+06,-0.000016,-0.350601
2.511886e+06,-0.000029,-0.476591
3.414549e+06,-0.000054,-0.647854
4.641589e+06,-0.000101,-0.880658
6.309573e+06,-0.000186,-1.197112
8.576959e+06,-0.000344,-1.627261
1.165914e+07,-0.000635,-2.211925
1.584893e+07,-0.001173,-3.006535
2.154435e+07,-0.002167,-4.086303
2.928645e+07,-0.004001,-5.553110
3.981072e+07,-0.007380,-7.544564
5.411695e+07,-0.013594,-10.245507
7.356423e+07,-0.024974,-13.901708
1.000000e+08,-0.045656,-18.833786
1.359356e+08,-0.082737,-25.445160
1.847850e+08,-0.147622,-34.209021
2.511886e+08,-0.256479,-45.604899
3.414549e+08,-0.426846,-59.966028
4.641589e+08,-0.666497,-77.234170
6.309573e+08,-0.957314,-96.749625
8.576959e+08,-1.251910,-117.341108
1.165914e+09,-1.496879,-137.819085
1.584893e+09,-1.660894,-157.532880
2.154435e+09,-1.737985,-176.555961
2.928645e+09,-1.732384,164.540008
3.981072e+09,-1.647456,145.100096
5.411695e+09,-1.488537,124.826165
7.356423e+09,-1.275264,104.106839
1.000000e+10,-1.046745,84.004223
