Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.187560
1.359356e+06,-0.000008,-0.254961
1.847850e+06,-0.000016,-0.346582
2.511886e+06,-0.000029,-0.471127
3.414549e+06,-0.000053,-0.640427
4.641589e+06,-0.000098,-0.870563
6.309573e+06,-0.000182,-1.183389
8.576959e+06,-0.000336,-1.608609
1.165914e+07,-0.000621,-2.186574
1.584893e+07,-0.001147,-2.972084
2.154435e+07,-0.002118,-4.039499
2.928645e+07,-0.003910,-5.489554
3.981072e+07,-0.007212,-7.458337
5.411695e+07,-0.013286,-10.128713
7.356423e+07,-0.024411,-13.743992
1.000000e+08,-0.044641,-18.621979
1.359356e+08,-0.080939,-25.163533
1.847850e+08,-0.144544,-33.841125
2.511886e+08,-0.251513,-45.138743
3.414549e+08,-0.419573,-59.404242
4.641589e+08,-0.657322,-76.607359
6.309573e+08,-0.947940,-96.123160
8.576959e+08,-1.244678,-116.803011
1.165914e+09,-1.493146,-137.452918
1.584893e+09,-1.660141,-157.397457
2.154435e+09,-1.738252,-176.683256
2.928645e+09,-1.731106,164.139723
3.981072e+09,-1.642201,144.440557
5.411695e+09,-1.477942,123.956829
7.356423e+09,-1.259962,103.119072
1.000000e+10,-1.029138,83.012075
