Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.182007
1.359356e+06,-0.000008,-0.247412
1.847850e+06,-0.000015,-0.336321
2.511886e+06,-0.000027,-0.457179
3.414549e+06,-0.000050,-0.621467
4.641589e+06,-0.000093,-0.844790
6.309573e+06,-0.000171,-1.148357
8.576959e+06,-0.000316,-1.560991
1.165914e+07,-0.000584,-2.121855
1.584893e+07,-0.001080,-2.884134
2.154435e+07,-0.001994,-3.920009
2.928645e+07,-0.003682,-5.327290
3.981072e+07,-0.006793,-7.238175
5.411695e+07,-0.012516,-9.830467
7.356423e+07,-0.023005,-13.341139
1.000000e+08,-0.042099,-18.080707
1.359356e+08,-0.076430,-24.443227
1.847850e+08,-0.136804,-32.898800
2.511886e+08,-0.238963,-43.941857
3.414549e+08,-0.401056,-57.956549
4.641589e+08,-0.633722,-74.984299
6.309573e+08,-0.923556,-94.492887
8.576959e+08,-1.225725,-115.399218
1.165914e+09,-1.483435,-136.504366
1.584893e+09,-1.658379,-157.069849
2.154435e+09,-1.739020,-177.068060
2.928645e+09,-1.727214,163.015231
3.981072e+09,-1.626983,142.621367
5.411695e+09,-1.448042,121.590259
7.356423e+09,-1.217747,100.463735
1.000000e+10,-0.981501,80.376129
