Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.186349
1.359356e+06,-0.000008,-0.253315
1.847850e+06,-0.000015,-0.344345
2.511886e+06,-0.000028,-0.468086
3.414549e+06,-0.000053,-0.636293
4.641589e+06,-0.000097,-0.864943
6.309573e+06,-0.000179,-1.175751
8.576959e+06,-0.000332,-1.598226
1.165914e+07,-0.000613,-2.172462
1.584893e+07,-0.001132,-2.952908
2.154435e+07,-0.002091,-4.013447
2.928645e+07,-0.003860,-5.454178
3.981072e+07,-0.007120,-7.410344
5.411695e+07,-0.013117,-10.063713
7.356423e+07,-0.024103,-13.656228
1.000000e+08,-0.044084,-18.504143
1.359356e+08,-0.079952,-25.006924
1.847850e+08,-0.142856,-33.636728
2.511886e+08,-0.248792,-44.880230
3.414549e+08,-0.415601,-59.093918
4.641589e+08,-0.652351,-76.264118
6.309573e+08,-0.942965,-95.786927
8.576959e+08,-1.241051,-116.528268
1.165914e+09,-1.491600,-137.292979
1.584893e+09,-1.660232,-157.392037
2.154435e+09,-1.738596,-176.856292
2.928645e+09,-1.729892,163.778509
3.981072e+09,-1.637715,143.899411
5.411695e+09,-1.469279,123.271594
7.356423e+09,-1.247730,102.357249
1.000000e+10,-1.015223,82.257183
