Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.181080
1.359356e+06,-0.000008,-0.246152
1.847850e+06,-0.000015,-0.334608
2.511886e+06,-0.000027,-0.454851
3.414549e+06,-0.000050,-0.618302
4.641589e+06,-0.000092,-0.840487
6.309573e+06,-0.000169,-1.142508
8.576959e+06,-0.000313,-1.553040
1.165914e+07,-0.000578,-2.111048
1.584893e+07,-0.001069,-2.869449
2.154435e+07,-0.001974,-3.900056
2.928645e+07,-0.003644,-5.300192
3.981072e+07,-0.006723,-7.201402
5.411695e+07,-0.012388,-9.780635
7.356423e+07,-0.022772,-13.273788
1.000000e+08,-0.041678,-17.990114
1.359356e+08,-0.075680,-24.322424
1.847850e+08,-0.135510,-32.740176
2.511886e+08,-0.236845,-43.739041
3.414549e+08,-0.397880,-57.708319
4.641589e+08,-0.629561,-74.700137
6.309573e+08,-0.919048,-94.196543
8.576959e+08,-1.221901,-115.124794
1.165914e+09,-1.481053,-136.285095
1.584893e+09,-1.657446,-156.928324
2.154435e+09,-1.738926,-177.014286
2.928645e+09,-1.727106,162.981136
3.981072e+09,-1.626097,142.507766
5.411695e+09,-1.445997,121.415191
7.356423e+09,-1.214742,100.254568
1.000000e+10,-0.978143,80.163180
