Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.187935
1.359356e+06,-0.000008,-0.255470
1.847850e+06,-0.000016,-0.347275
2.511886e+06,-0.000029,-0.472070
3.414549e+06,-0.000053,-0.641708
4.641589e+06,-0.000099,-0.872304
6.309573e+06,-0.000183,-1.185756
8.576959e+06,-0.000337,-1.611825
1.165914e+07,-0.000623,-2.190946
1.584893e+07,-0.001151,-2.978026
2.154435e+07,-0.002126,-4.047571
2.928645e+07,-0.003925,-5.500516
3.981072e+07,-0.007241,-7.473211
5.411695e+07,-0.013339,-10.148865
7.356423e+07,-0.024509,-13.771216
1.000000e+08,-0.044817,-18.658568
1.359356e+08,-0.081251,-25.212253
1.847850e+08,-0.145079,-33.904936
2.511886e+08,-0.252382,-45.219989
3.414549e+08,-0.420860,-59.503030
4.641589e+08,-0.658977,-76.719416
6.309573e+08,-0.949694,-96.238741
8.576959e+08,-1.246135,-116.908895
1.165914e+09,-1.494042,-137.536880
1.584893e+09,-1.660493,-157.451633
2.154435e+09,-1.738291,-176.704379
2.928645e+09,-1.731139,164.151612
3.981072e+09,-1.642510,144.482700
5.411695e+09,-1.478685,124.023141
7.356423e+09,-1.261096,103.199811
1.000000e+10,-1.030450,83.095738
