Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.189963
1.359356e+06,-0.000009,-0.258227
1.847850e+06,-0.000016,-0.351022
2.511886e+06,-0.000030,-0.477163
3.414549e+06,-0.000055,-0.648632
4.641589e+06,-0.000101,-0.881715
6.309573e+06,-0.000187,-1.198549
8.576959e+06,-0.000345,-1.629214
1.165914e+07,-0.000637,-2.214578
1.584893e+07,-0.001176,-3.010141
2.154435e+07,-0.002172,-4.091202
2.928645e+07,-0.004011,-5.559763
3.981072e+07,-0.007398,-7.553591
5.411695e+07,-0.013627,-10.257734
7.356423e+07,-0.025034,-13.918225
1.000000e+08,-0.045764,-18.855978
1.359356e+08,-0.082928,-25.474696
1.847850e+08,-0.147949,-34.247672
2.511886e+08,-0.257009,-45.654039
3.414549e+08,-0.427627,-60.025644
4.641589e+08,-0.667495,-77.301585
6.309573e+08,-0.958365,-96.818907
8.576959e+08,-1.252777,-117.404354
1.165914e+09,-1.497410,-137.869118
1.584893e+09,-1.661103,-157.565167
2.154435e+09,-1.738009,-176.568663
2.928645e+09,-1.732403,164.546852
3.981072e+09,-1.647634,145.124925
5.411695e+09,-1.488971,124.865517
7.356423e+09,-1.275935,104.155065
1.000000e+10,-1.047531,84.054504
