Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.185934
1.359356e+06,-0.000008,-0.252750
1.847850e+06,-0.000015,-0.343577
2.511886e+06,-0.000028,-0.467043
3.414549e+06,-0.000052,-0.634875
4.641589e+06,-0.000097,-0.863016
6.309573e+06,-0.000179,-1.173131
8.576959e+06,-0.000330,-1.594665
1.165914e+07,-0.000610,-2.167622
1.584893e+07,-0.001127,-2.946331
2.154435e+07,-0.002081,-4.004510
2.928645e+07,-0.003842,-5.442042
3.981072e+07,-0.007088,-7.393876
5.411695e+07,-0.013058,-10.041401
7.356423e+07,-0.023996,-13.626081
1.000000e+08,-0.043890,-18.463616
1.359356e+08,-0.079609,-24.952941
1.847850e+08,-0.142267,-33.565976
2.511886e+08,-0.247833,-44.790050
3.414549e+08,-0.414177,-58.984083
4.641589e+08,-0.650510,-76.139243
6.309573e+08,-0.941003,-95.657781
8.576959e+08,-1.239414,-116.409677
1.165914e+09,-1.490592,-137.198840
1.584893e+09,-1.659837,-157.331430
2.154435e+09,-1.738553,-176.833061
2.928645e+09,-1.729851,163.764381
3.981072e+09,-1.637354,143.851166
5.411695e+09,-1.468426,123.196352
7.356423e+09,-1.246444,102.266236
1.000000e+10,-1.013751,82.163410
