Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.185533
1.359356e+06,-0.000008,-0.252206
1.847850e+06,-0.000015,-0.342837
2.511886e+06,-0.000028,-0.466037
3.414549e+06,-0.000052,-0.633508
4.641589e+06,-0.000096,-0.861157
6.309573e+06,-0.000178,-1.170604
8.576959e+06,-0.000329,-1.591231
1.165914e+07,-0.000607,-2.162955
1.584893e+07,-0.001122,-2.939988
2.154435e+07,-0.002072,-3.995892
2.928645e+07,-0.003826,-5.430338
3.981072e+07,-0.007058,-7.377995
5.411695e+07,-0.013002,-10.019884
7.356423e+07,-0.023893,-13.597008
1.000000e+08,-0.043705,-18.424533
1.359356e+08,-0.079279,-24.900874
1.847850e+08,-0.141699,-33.497725
2.511886e+08,-0.246910,-44.703031
3.414549e+08,-0.412804,-58.878050
4.641589e+08,-0.648733,-76.018612
6.309573e+08,-0.939107,-95.532919
8.576959e+08,-1.237828,-116.294903
1.165914e+09,-1.489614,-137.107623
1.584893e+09,-1.659453,-157.272592
2.154435e+09,-1.738512,-176.810348
2.928645e+09,-1.729811,163.750983
3.981072e+09,-1.637008,143.804810
5.411695e+09,-1.467603,123.123944
7.356423e+09,-1.245204,102.178639
1.000000e+10,-1.012333,82.073182
