Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.182874
1.359356e+06,-0.000008,-0.248591
1.847850e+06,-0.000015,-0.337923
2.511886e+06,-0.000027,-0.459357
3.414549e+06,-0.000051,-0.624428
4.641589e+06,-0.000094,-0.848814
6.309573e+06,-0.000173,-1.153826
8.576959e+06,-0.000319,-1.568425
1.165914e+07,-0.000590,-2.131959
1.584893e+07,-0.001090,-2.897866
2.154435e+07,-0.002013,-3.938665
2.928645e+07,-0.003717,-5.352624
3.981072e+07,-0.006857,-7.272551
5.411695e+07,-0.012634,-9.877040
7.356423e+07,-0.023222,-13.404058
1.000000e+08,-0.042491,-18.165270
1.359356e+08,-0.077126,-24.555823
1.847850e+08,-0.138002,-33.046244
2.511886e+08,-0.240911,-44.129435
3.414549e+08,-0.403944,-58.184006
4.641589e+08,-0.637429,-75.240213
6.309573e+08,-0.927417,-94.751044
8.576959e+08,-1.228749,-115.622471
1.165914e+09,-1.484991,-136.655712
1.584893e+09,-1.658658,-157.122105
2.154435e+09,-1.738900,-177.006188
2.928645e+09,-1.727867,163.195403
3.981072e+09,-1.629482,142.911762
5.411695e+09,-1.452888,121.966022
7.356423e+09,-1.224503,100.882620
1.000000e+10,-0.989039,80.789232
