Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.184335
1.359356e+06,-0.000008,-0.250576
1.847850e+06,-0.000015,-0.340622
2.511886e+06,-0.000028,-0.463026
3.414549e+06,-0.000051,-0.629415
4.641589e+06,-0.000095,-0.855593
6.309573e+06,-0.000176,-1.163042
8.576959e+06,-0.000324,-1.580951
1.165914e+07,-0.000599,-2.148983
1.584893e+07,-0.001107,-2.921001
2.154435e+07,-0.002045,-3.970096
2.928645e+07,-0.003776,-5.395308
3.981072e+07,-0.006967,-7.330465
5.411695e+07,-0.012835,-9.955494
7.356423e+07,-0.023589,-13.510028
1.000000e+08,-0.043154,-18.307650
1.359356e+08,-0.078303,-24.745293
1.847850e+08,-0.140022,-33.294096
2.511886e+08,-0.244188,-44.444167
3.414549e+08,-0.408781,-58.564412
4.641589e+08,-0.643587,-75.665801
6.309573e+08,-0.933749,-95.176069
8.576959e+08,-1.233589,-115.982796
1.165914e+09,-1.487330,-136.887645
1.584893e+09,-1.658900,-157.178456
2.154435e+09,-1.738615,-176.859930
2.928645e+09,-1.729136,163.553055
3.981072e+09,-1.634228,143.468101
5.411695e+09,-1.462039,122.677696
7.356423e+09,-1.237287,101.673487
1.000000e+10,-1.003379,81.569333
