Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.190800
1.359356e+06,-0.000009,-0.259365
1.847850e+06,-0.000016,-0.352569
2.511886e+06,-0.000030,-0.479266
3.414549e+06,-0.000055,-0.651490
4.641589e+06,-0.000102,-0.885601
6.309573e+06,-0.000188,-1.203830
8.576959e+06,-0.000348,-1.636392
1.165914e+07,-0.000642,-2.224335
1.584893e+07,-0.001187,-3.023400
2.154435e+07,-0.002192,-4.109215
2.928645e+07,-0.004046,-5.584222
3.981072e+07,-0.007463,-7.586772
5.411695e+07,-0.013747,-10.302671
7.356423e+07,-0.025252,-13.978892
1.000000e+08,-0.046157,-18.937414
1.359356e+08,-0.083623,-25.582885
1.847850e+08,-0.149136,-34.388788
2.511886e+08,-0.258917,-45.832365
3.414549e+08,-0.430401,-60.239549
4.641589e+08,-0.670956,-77.538333
6.309573e+08,-0.961836,-97.052182
8.576959e+08,-1.255364,-117.599190
1.165914e+09,-1.498634,-137.992408
1.584893e+09,-1.661222,-157.593235
2.154435e+09,-1.737840,-176.487873
2.928645e+09,-1.733010,164.741909
3.981072e+09,-1.650039,145.429866
5.411695e+09,-1.493772,125.260535
7.356423e+09,-1.282878,104.601559
1.000000e+10,-1.055572,84.502863
