Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.187695
1.359356e+06,-0.000008,-0.255144
1.847850e+06,-0.000016,-0.346831
2.511886e+06,-0.000029,-0.471466
3.414549e+06,-0.000053,-0.640888
4.641589e+06,-0.000099,-0.871190
6.309573e+06,-0.000182,-1.184241
8.576959e+06,-0.000336,-1.609767
1.165914e+07,-0.000622,-2.188147
1.584893e+07,-0.001148,-2.974223
2.154435e+07,-0.002121,-4.042405
2.928645e+07,-0.003915,-5.493500
3.981072e+07,-0.007223,-7.463692
5.411695e+07,-0.013305,-10.135968
7.356423e+07,-0.024446,-13.753793
1.000000e+08,-0.044704,-18.635152
1.359356e+08,-0.081051,-25.181073
1.847850e+08,-0.144737,-33.864100
2.511886e+08,-0.251826,-45.167997
3.414549e+08,-0.420036,-59.439817
4.641589e+08,-0.657918,-76.647721
6.309573e+08,-0.948572,-96.164801
8.576959e+08,-1.245203,-116.841170
1.165914e+09,-1.493469,-137.483187
1.584893e+09,-1.660268,-157.416998
2.154435e+09,-1.738266,-176.690890
2.928645e+09,-1.731118,164.143981
3.981072e+09,-1.642312,144.455712
5.411695e+09,-1.478209,123.980687
7.356423e+09,-1.260370,103.148122
1.000000e+10,-1.029610,83.042175
