Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.191181
1.359356e+06,-0.000009,-0.259884
1.847850e+06,-0.000016,-0.353274
2.511886e+06,-0.000030,-0.480224
3.414549e+06,-0.000055,-0.652793
4.641589e+06,-0.000102,-0.887372
6.309573e+06,-0.000189,-1.206238
8.576959e+06,-0.000349,-1.639665
1.165914e+07,-0.000645,-2.228783
1.584893e+07,-0.001191,-3.029444
2.154435e+07,-0.002200,-4.117426
2.928645e+07,-0.004062,-5.595372
3.981072e+07,-0.007493,-7.601901
5.411695e+07,-0.013802,-10.323165
7.356423e+07,-0.025352,-14.006571
1.000000e+08,-0.046339,-18.974599
1.359356e+08,-0.083945,-25.632360
1.847850e+08,-0.149687,-34.453502
2.511886e+08,-0.259807,-45.914576
3.414549e+08,-0.431710,-60.339165
4.641589e+08,-0.672624,-77.650791
6.309573e+08,-0.963584,-97.167524
8.576959e+08,-1.256801,-117.704281
1.165914e+09,-1.499511,-138.075427
1.584893e+09,-1.661568,-157.646793
2.154435e+09,-1.737881,-176.509010
2.928645e+09,-1.733040,164.753113
3.981072e+09,-1.650329,145.470895
5.411695e+09,-1.494485,125.325778
7.356423e+09,-1.283989,104.681774
1.000000e+10,-1.056882,84.586762
