Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.184706
1.359356e+06,-0.000008,-0.251081
1.847850e+06,-0.000015,-0.341308
2.511886e+06,-0.000028,-0.463958
3.414549e+06,-0.000052,-0.630682
4.641589e+06,-0.000095,-0.857316
6.309573e+06,-0.000176,-1.165383
8.576959e+06,-0.000326,-1.584134
1.165914e+07,-0.000602,-2.153309
1.584893e+07,-0.001112,-2.926881
2.154435e+07,-0.002054,-3.978086
2.928645e+07,-0.003792,-5.406159
3.981072e+07,-0.006995,-7.345193
5.411695e+07,-0.012888,-9.975460
7.356423e+07,-0.023685,-13.537033
1.000000e+08,-0.043330,-18.344022
1.359356e+08,-0.078615,-24.793912
1.847850e+08,-0.140563,-33.358228
2.511886e+08,-0.245080,-44.526876
3.414549e+08,-0.410140,-58.667322
4.641589e+08,-0.645423,-75.787400
6.309573e+08,-0.935863,-95.310837
8.576959e+08,-1.235609,-116.122904
1.165914e+09,-1.488910,-137.026820
1.584893e+09,-1.659856,-157.314914
2.154435e+09,-1.738871,-176.996234
2.928645e+09,-1.728623,163.412468
3.981072e+09,-1.632858,143.320223
5.411695e+09,-1.459800,122.523979
7.356423e+09,-1.234363,101.520890
1.000000e+10,-1.000118,81.427757
