Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.180705
1.359356e+06,-0.000008,-0.245643
1.847850e+06,-0.000014,-0.333916
2.511886e+06,-0.000027,-0.453910
3.414549e+06,-0.000049,-0.617023
4.641589e+06,-0.000091,-0.838749
6.309573e+06,-0.000169,-1.140145
8.576959e+06,-0.000312,-1.549830
1.165914e+07,-0.000576,-2.106685
1.584893e+07,-0.001064,-2.863519
2.154435e+07,-0.001966,-3.892000
2.928645e+07,-0.003629,-5.289252
3.981072e+07,-0.006696,-7.186559
5.411695e+07,-0.012338,-9.760530
7.356423e+07,-0.022680,-13.246637
1.000000e+08,-0.041512,-17.953646
1.359356e+08,-0.075386,-24.273927
1.847850e+08,-0.135005,-32.676820
2.511886e+08,-0.236027,-43.658807
3.414549e+08,-0.396678,-57.611907
4.641589e+08,-0.628050,-74.593684
6.309573e+08,-0.917545,-94.093508
8.576959e+08,-1.220859,-115.044386
1.165914e+09,-1.480723,-136.247150
1.584893e+09,-1.657644,-156.948539
2.154435e+09,-1.739091,-177.102636
2.928645e+09,-1.726504,162.820676
3.981072e+09,-1.624055,142.279327
5.411695e+09,-1.442230,121.134730
7.356423e+09,-1.209608,99.950248
1.000000e+10,-0.972457,79.867647
