Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.182218
1.359356e+06,-0.000008,-0.247699
1.847850e+06,-0.000015,-0.336711
2.511886e+06,-0.000027,-0.457710
3.414549e+06,-0.000050,-0.622188
4.641589e+06,-0.000093,-0.845770
6.309573e+06,-0.000172,-1.149689
8.576959e+06,-0.000317,-1.562802
1.165914e+07,-0.000586,-2.124316
1.584893e+07,-0.001082,-2.887479
2.154435e+07,-0.001999,-3.924552
2.928645e+07,-0.003690,-5.333458
3.981072e+07,-0.006808,-7.246542
5.411695e+07,-0.012544,-9.841796
7.356423e+07,-0.023056,-13.356427
1.000000e+08,-0.042192,-18.101210
1.359356e+08,-0.076593,-24.470421
1.847850e+08,-0.137083,-32.934149
2.511886e+08,-0.239409,-43.986207
3.414549e+08,-0.401697,-58.008893
4.641589e+08,-0.634493,-75.040049
6.309573e+08,-0.924248,-94.542673
8.576959e+08,-1.226071,-115.429854
1.165914e+09,-1.483326,-136.502000
1.584893e+09,-1.658006,-157.022894
2.154435e+09,-1.738833,-176.968318
2.928645e+09,-1.727794,163.171875
3.981072e+09,-1.628871,142.832562
5.411695e+09,-1.451467,121.843544
7.356423e+09,-1.222402,100.735832
1.000000e+10,-0.986677,80.639365
