Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.188776
1.359356e+06,-0.000009,-0.256613
1.847850e+06,-0.000016,-0.348828
2.511886e+06,-0.000029,-0.474181
3.414549e+06,-0.000054,-0.644579
4.641589e+06,-0.000100,-0.876206
6.309573e+06,-0.000184,-1.191060
8.576959e+06,-0.000340,-1.619035
1.165914e+07,-0.000629,-2.200744
1.584893e+07,-0.001162,-2.991341
2.154435e+07,-0.002145,-4.065660
2.928645e+07,-0.003961,-5.525080
3.981072e+07,-0.007306,-7.506536
5.411695e+07,-0.013458,-10.194001
7.356423e+07,-0.024725,-13.832163
1.000000e+08,-0.045208,-18.740406
1.359356e+08,-0.081943,-25.321038
1.847850e+08,-0.146264,-34.046973
2.511886e+08,-0.254291,-45.399786
3.414549e+08,-0.423650,-59.719292
4.641589e+08,-0.662483,-76.959762
6.309573e+08,-0.953243,-96.476948
8.576959e+08,-1.248813,-117.109568
1.165914e+09,-1.495335,-137.666084
1.584893e+09,-1.660646,-157.484944
2.154435e+09,-1.738135,-176.627886
2.928645e+09,-1.731760,164.342995
3.981072e+09,-1.644940,144.783691
5.411695e+09,-1.483495,124.412705
7.356423e+09,-1.267986,103.638460
1.000000e+10,-1.038353,83.534093
