Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.190149
1.359356e+06,-0.000009,-0.258480
1.847850e+06,-0.000016,-0.351366
2.511886e+06,-0.000030,-0.477631
3.414549e+06,-0.000055,-0.649268
4.641589e+06,-0.000101,-0.882580
6.309573e+06,-0.000187,-1.199724
8.576959e+06,-0.000345,-1.630811
1.165914e+07,-0.000638,-2.216750
1.584893e+07,-0.001179,-3.013092
2.154435e+07,-0.002177,-4.095212
2.928645e+07,-0.004019,-5.565210
3.981072e+07,-0.007413,-7.560986
5.411695e+07,-0.013655,-10.267764
7.356423e+07,-0.025085,-13.931801
1.000000e+08,-0.045856,-18.874288
1.359356e+08,-0.083093,-25.499236
1.847850e+08,-0.148236,-34.280203
2.511886e+08,-0.257485,-45.696385
3.414549e+08,-0.428360,-60.079259
4.641589e+08,-0.668512,-77.367013
6.309573e+08,-0.959594,-96.895671
8.576959e+08,-1.254055,-117.491878
1.165914e+09,-1.498541,-137.968310
1.584893e+09,-1.661904,-157.679377
2.154435e+09,-1.738276,-176.703200
2.928645e+09,-1.731881,164.386594
3.981072e+09,-1.646043,144.936590
5.411695e+09,-1.486165,124.653545
7.356423e+09,-1.272089,103.932577
1.000000e+10,-1.043133,83.839928
