Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.183240
1.359356e+06,-0.000008,-0.249088
1.847850e+06,-0.000015,-0.338599
2.511886e+06,-0.000028,-0.460276
3.414549e+06,-0.000051,-0.625677
4.641589e+06,-0.000094,-0.850512
6.309573e+06,-0.000174,-1.156135
8.576959e+06,-0.000321,-1.571563
1.165914e+07,-0.000592,-2.136224
1.584893e+07,-0.001094,-2.903661
2.154435e+07,-0.002021,-3.946539
2.928645e+07,-0.003731,-5.363316
3.981072e+07,-0.006884,-7.287056
5.411695e+07,-0.012684,-9.896685
7.356423e+07,-0.023312,-13.430582
1.000000e+08,-0.042655,-18.200881
1.359356e+08,-0.077416,-24.603145
1.847850e+08,-0.138498,-33.107983
2.511886e+08,-0.241712,-44.207440
3.414549e+08,-0.405114,-58.277370
4.641589e+08,-0.638886,-75.342626
6.309573e+08,-0.928843,-94.849065
8.576959e+08,-1.229708,-115.697241
1.165914e+09,-1.485257,-136.687976
1.584893e+09,-1.658427,-157.096649
2.154435e+09,-1.738723,-176.913160
2.928645e+09,-1.728464,163.360297
3.981072e+09,-1.631523,143.145086
5.411695e+09,-1.456678,122.252616
7.356423e+09,-1.229715,101.194692
1.000000e+10,-0.994862,81.093659
