Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.184178
1.359356e+06,-0.000008,-0.250363
1.847850e+06,-0.000015,-0.340333
2.511886e+06,-0.000028,-0.462633
3.414549e+06,-0.000051,-0.628880
4.641589e+06,-0.000095,-0.854867
6.309573e+06,-0.000175,-1.162054
8.576959e+06,-0.000324,-1.579609
1.165914e+07,-0.000598,-2.147159
1.584893e+07,-0.001106,-2.918522
2.154435e+07,-0.002042,-3.966729
2.928645e+07,-0.003770,-5.390736
3.981072e+07,-0.006955,-7.324265
5.411695e+07,-0.012814,-9.947102
7.356423e+07,-0.023551,-13.498713
1.000000e+08,-0.043086,-18.292498
1.359356e+08,-0.078183,-24.725253
1.847850e+08,-0.139819,-33.268180
2.511886e+08,-0.243866,-44.411969
3.414549e+08,-0.408330,-58.527122
4.641589e+08,-0.643073,-75.627610
6.309573e+08,-0.933344,-95.145105
8.576959e+08,-1.233496,-115.970311
1.165914e+09,-1.487605,-136.905522
1.584893e+09,-1.659347,-157.236956
2.154435e+09,-1.738818,-176.966815
2.928645e+09,-1.728565,163.393334
3.981072e+09,-1.632376,143.256916
5.411695e+09,-1.458676,122.426057
7.356423e+09,-1.232688,101.403197
1.000000e+10,-0.998223,81.307175
