Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.183093
1.359356e+06,-0.000008,-0.248888
1.847850e+06,-0.000015,-0.338327
2.511886e+06,-0.000027,-0.459906
3.414549e+06,-0.000051,-0.625174
4.641589e+06,-0.000094,-0.849828
6.309573e+06,-0.000173,-1.155205
8.576959e+06,-0.000320,-1.570300
1.165914e+07,-0.000591,-2.134507
1.584893e+07,-0.001093,-2.901328
2.154435e+07,-0.002018,-3.943369
2.928645e+07,-0.003726,-5.359013
3.981072e+07,-0.006874,-7.281221
5.411695e+07,-0.012665,-9.888788
7.356423e+07,-0.023277,-13.419934
1.000000e+08,-0.042591,-18.186621
1.359356e+08,-0.077304,-24.584284
1.847850e+08,-0.138308,-33.083593
2.511886e+08,-0.241412,-44.177143
3.414549e+08,-0.404694,-58.242307
4.641589e+08,-0.638406,-75.306807
6.309573e+08,-0.928471,-94.820304
8.576959e+08,-1.229638,-115.686424
1.165914e+09,-1.485542,-136.706681
1.584893e+09,-1.658873,-157.154931
2.154435e+09,-1.738922,-177.018618
2.928645e+09,-1.727892,163.203384
3.981072e+09,-1.629686,142.938264
5.411695e+09,-1.453362,122.006939
7.356423e+09,-1.225205,100.931652
1.000000e+10,-0.989827,80.839308
