Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.184427
1.359356e+06,-0.000008,-0.250702
1.847850e+06,-0.000015,-0.340793
2.511886e+06,-0.000028,-0.463259
3.414549e+06,-0.000051,-0.629731
4.641589e+06,-0.000095,-0.856023
6.309573e+06,-0.000176,-1.163626
8.576959e+06,-0.000325,-1.581746
1.165914e+07,-0.000600,-2.150063
1.584893e+07,-0.001109,-2.922469
2.154435e+07,-0.002048,-3.972092
2.928645e+07,-0.003780,-5.398019
3.981072e+07,-0.006974,-7.334148
5.411695e+07,-0.012849,-9.960494
7.356423e+07,-0.023614,-13.516809
1.000000e+08,-0.043201,-18.316830
1.359356e+08,-0.078387,-24.757678
1.847850e+08,-0.140170,-33.310708
2.511886e+08,-0.244440,-44.466243
3.414549e+08,-0.409185,-58.593353
4.641589e+08,-0.644183,-75.703113
6.309573e+08,-0.934534,-95.223438
8.576959e+08,-1.234496,-116.042459
1.165914e+09,-1.488223,-136.962897
1.584893e+09,-1.659588,-157.273856
2.154435e+09,-1.738843,-176.980775
2.928645e+09,-1.728592,163.402320
3.981072e+09,-1.632604,143.286775
5.411695e+09,-1.459207,122.472266
7.356423e+09,-1.233479,101.458738
1.000000e+10,-0.999118,81.364073
