Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.182393
1.359356e+06,-0.000008,-0.247937
1.847850e+06,-0.000015,-0.337034
2.511886e+06,-0.000027,-0.458149
3.414549e+06,-0.000050,-0.622785
4.641589e+06,-0.000093,-0.846582
6.309573e+06,-0.000172,-1.150792
8.576959e+06,-0.000318,-1.564301
1.165914e+07,-0.000587,-2.126354
1.584893e+07,-0.001084,-2.890249
2.154435e+07,-0.002002,-3.928315
2.928645e+07,-0.003697,-5.338569
3.981072e+07,-0.006821,-7.253478
5.411695e+07,-0.012568,-9.851195
7.356423e+07,-0.023100,-13.369129
1.000000e+08,-0.042271,-18.118294
1.359356e+08,-0.076735,-24.493198
1.847850e+08,-0.137328,-32.964048
2.511886e+08,-0.239809,-44.024416
3.414549e+08,-0.402296,-58.055621
4.641589e+08,-0.635277,-75.093482
6.309573e+08,-0.925095,-94.598325
8.576959e+08,-1.226787,-115.481330
1.165914e+09,-1.483772,-136.543109
1.584893e+09,-1.658181,-157.049458
2.154435e+09,-1.738851,-176.978502
2.928645e+09,-1.727814,163.178088
3.981072e+09,-1.629034,142.853637
5.411695e+09,-1.451846,121.876164
7.356423e+09,-1.222962,100.774930
1.000000e+10,-0.987306,80.679277
