Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.182684
1.359356e+06,-0.000008,-0.248333
1.847850e+06,-0.000015,-0.337573
2.511886e+06,-0.000027,-0.458881
3.414549e+06,-0.000051,-0.623781
4.641589e+06,-0.000093,-0.847935
6.309573e+06,-0.000172,-1.152631
8.576959e+06,-0.000319,-1.566801
1.165914e+07,-0.000589,-2.129751
1.584893e+07,-0.001088,-2.894865
2.154435e+07,-0.002009,-3.934588
2.928645e+07,-0.003709,-5.347088
3.981072e+07,-0.006843,-7.265038
5.411695e+07,-0.012608,-9.866859
7.356423e+07,-0.023174,-13.390298
1.000000e+08,-0.042405,-18.146765
1.359356e+08,-0.076972,-24.531154
1.847850e+08,-0.137736,-33.013868
2.511886e+08,-0.240477,-44.088074
3.414549e+08,-0.403295,-58.133451
4.641589e+08,-0.636581,-75.182447
6.309573e+08,-0.926503,-94.690939
8.576959e+08,-1.227977,-115.566943
1.165914e+09,-1.484512,-136.611431
1.584893e+09,-1.658471,-157.093557
2.154435e+09,-1.738881,-176.995337
2.928645e+09,-1.727846,163.188541
3.981072e+09,-1.629305,142.888835
5.411695e+09,-1.452478,121.930597
7.356423e+09,-1.223896,100.840167
1.000000e+10,-0.988356,80.745881
