Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.189781
1.359356e+06,-0.000009,-0.257979
1.847850e+06,-0.000016,-0.350685
2.511886e+06,-0.000030,-0.476705
3.414549e+06,-0.000055,-0.648010
4.641589e+06,-0.000101,-0.880870
6.309573e+06,-0.000186,-1.197400
8.576959e+06,-0.000344,-1.627652
1.165914e+07,-0.000635,-2.212456
1.584893e+07,-0.001174,-3.007257
2.154435e+07,-0.002168,-4.087283
2.928645e+07,-0.004003,-5.554441
3.981072e+07,-0.007384,-7.546370
5.411695e+07,-0.013601,-10.247952
7.356423e+07,-0.024986,-13.905012
1.000000e+08,-0.045678,-18.838224
1.359356e+08,-0.082775,-25.451068
1.847850e+08,-0.147687,-34.216752
2.511886e+08,-0.256585,-45.614729
3.414549e+08,-0.427002,-59.977954
4.641589e+08,-0.666696,-77.247658
6.309573e+08,-0.957524,-96.763490
8.576959e+08,-1.252084,-117.353767
1.165914e+09,-1.496985,-137.829102
1.584893e+09,-1.660936,-157.539347
2.154435e+09,-1.737990,-176.558509
2.928645e+09,-1.732388,164.541371
3.981072e+09,-1.647492,145.105058
5.411695e+09,-1.488624,124.834032
7.356423e+09,-1.275398,104.116481
1.000000e+10,-1.046902,84.014275
