Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.190099
1.359356e+06,-0.000009,-0.258413
1.847850e+06,-0.000016,-0.351274
2.511886e+06,-0.000030,-0.477506
3.414549e+06,-0.000055,-0.649098
4.641589e+06,-0.000101,-0.882349
6.309573e+06,-0.000187,-1.199411
8.576959e+06,-0.000345,-1.630385
1.165914e+07,-0.000638,-2.216170
1.584893e+07,-0.001178,-3.012305
2.154435e+07,-0.002176,-4.094141
2.928645e+07,-0.004016,-5.563755
3.981072e+07,-0.007409,-7.559007
5.411695e+07,-0.013647,-10.265071
7.356423e+07,-0.025069,-13.928135
1.000000e+08,-0.045829,-18.869293
1.359356e+08,-0.083043,-25.492415
1.847850e+08,-0.148146,-34.270858
2.511886e+08,-0.257327,-45.683514
3.414549e+08,-0.428095,-60.061396
4.641589e+08,-0.668094,-77.342001
6.309573e+08,-0.958994,-96.860427
8.576959e+08,-1.253296,-117.442242
1.165914e+09,-1.497727,-137.899075
1.584893e+09,-1.661228,-157.584482
2.154435e+09,-1.738023,-176.576240
2.928645e+09,-1.732414,164.550990
3.981072e+09,-1.647740,145.139847
5.411695e+09,-1.489232,124.889148
7.356423e+09,-1.276338,104.184023
1.000000e+10,-1.048002,84.084700
