Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.187435
1.359356e+06,-0.000008,-0.254790
1.847850e+06,-0.000016,-0.346350
2.511886e+06,-0.000029,-0.470813
3.414549e+06,-0.000053,-0.640000
4.641589e+06,-0.000098,-0.869982
6.309573e+06,-0.000182,-1.182599
8.576959e+06,-0.000336,-1.607535
1.165914e+07,-0.000620,-2.185114
1.584893e+07,-0.001145,-2.970102
2.154435e+07,-0.002115,-4.036805
2.928645e+07,-0.003905,-5.485898
3.981072e+07,-0.007203,-7.453381
5.411695e+07,-0.013269,-10.122010
7.356423e+07,-0.024381,-13.734963
1.000000e+08,-0.044586,-18.609910
1.359356e+08,-0.080843,-25.147625
1.847850e+08,-0.144383,-33.820688
2.511886e+08,-0.251263,-45.113664
3.414549e+08,-0.419235,-59.375899
4.641589e+08,-0.656962,-76.579830
6.309573e+08,-0.947714,-96.103982
8.576959e+08,-1.244749,-116.802409
1.165914e+09,-1.493535,-137.481692
1.584893e+09,-1.660644,-157.465192
2.154435e+09,-1.738476,-176.797652
2.928645e+09,-1.730546,163.973679
3.981072e+09,-1.640361,144.223221
5.411695e+09,-1.474567,123.698002
7.356423e+09,-1.255287,102.839793
1.000000e+10,-1.023826,82.739430
