Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.180129
1.359356e+06,-0.000008,-0.244860
1.847850e+06,-0.000014,-0.332852
2.511886e+06,-0.000027,-0.452463
3.414549e+06,-0.000049,-0.615057
4.641589e+06,-0.000091,-0.836076
6.309573e+06,-0.000168,-1.136512
8.576959e+06,-0.000310,-1.544890
1.165914e+07,-0.000572,-2.099971
1.584893e+07,-0.001057,-2.854395
2.154435e+07,-0.001953,-3.879604
2.928645e+07,-0.003606,-5.272416
3.981072e+07,-0.006653,-7.163711
5.411695e+07,-0.012259,-9.729568
7.356423e+07,-0.022536,-13.204786
1.000000e+08,-0.041251,-17.897345
1.359356e+08,-0.074922,-24.198832
1.847850e+08,-0.134204,-32.578171
2.511886e+08,-0.234714,-43.532577
3.414549e+08,-0.394706,-57.457230
4.641589e+08,-0.625456,-74.416317
6.309573e+08,-0.914724,-93.908155
8.576959e+08,-1.218457,-114.872382
1.165914e+09,-1.479222,-136.109486
1.584893e+09,-1.657056,-156.859628
2.154435e+09,-1.739033,-177.068927
2.928645e+09,-1.726434,162.799083
3.981072e+09,-1.623492,142.207810
5.411695e+09,-1.440938,121.024843
7.356423e+09,-1.207720,99.819355
1.000000e+10,-0.970359,79.734774
