Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.185637
1.359356e+06,-0.000008,-0.252347
1.847850e+06,-0.000015,-0.343029
2.511886e+06,-0.000028,-0.466298
3.414549e+06,-0.000052,-0.633862
4.641589e+06,-0.000096,-0.861639
6.309573e+06,-0.000178,-1.171259
8.576959e+06,-0.000329,-1.592121
1.165914e+07,-0.000608,-2.164165
1.584893e+07,-0.001123,-2.941632
2.154435e+07,-0.002074,-3.998126
2.928645e+07,-0.003830,-5.433372
3.981072e+07,-0.007066,-7.382112
5.411695e+07,-0.013017,-10.025462
7.356423e+07,-0.023920,-13.604546
1.000000e+08,-0.043753,-18.434666
1.359356e+08,-0.079365,-24.914374
1.847850e+08,-0.141846,-33.515422
2.511886e+08,-0.247149,-44.725597
3.414549e+08,-0.413160,-58.905551
4.641589e+08,-0.649194,-76.049907
6.309573e+08,-0.939599,-95.565322
8.576959e+08,-1.238240,-116.324699
1.165914e+09,-1.489868,-137.131313
1.584893e+09,-1.659553,-157.287884
2.154435e+09,-1.738523,-176.816266
2.928645e+09,-1.729822,163.754435
3.981072e+09,-1.637098,143.816813
5.411695e+09,-1.467817,123.142703
7.356423e+09,-1.245525,102.201334
1.000000e+10,-1.012700,82.096556
