Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.188640
1.359356e+06,-0.000009,-0.256429
1.847850e+06,-0.000016,-0.348578
2.511886e+06,-0.000029,-0.473840
3.414549e+06,-0.000054,-0.644115
4.641589e+06,-0.000100,-0.875575
6.309573e+06,-0.000184,-1.190203
8.576959e+06,-0.000340,-1.617870
1.165914e+07,-0.000628,-2.199161
1.584893e+07,-0.001160,-2.989190
2.154435e+07,-0.002142,-4.062738
2.928645e+07,-0.003955,-5.521111
3.981072e+07,-0.007295,-7.501151
5.411695e+07,-0.013439,-10.186705
7.356423e+07,-0.024690,-13.822307
1.000000e+08,-0.045144,-18.727161
1.359356e+08,-0.081830,-25.303407
1.847850e+08,-0.146069,-34.023890
2.511886e+08,-0.253976,-45.370415
3.414549e+08,-0.423184,-59.683616
4.641589e+08,-0.661885,-76.919350
6.309573e+08,-0.952612,-96.435335
8.576959e+08,-1.248291,-117.071505
1.165914e+09,-1.495015,-137.635930
1.584893e+09,-1.660520,-157.465479
2.154435e+09,-1.738120,-176.620251
2.928645e+09,-1.731748,164.338817
3.981072e+09,-1.644831,144.768667
5.411695e+09,-1.483231,124.388972
7.356423e+09,-1.267580,103.609470
1.000000e+10,-1.037881,83.503962
