Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.183255
1.359356e+06,-0.000008,-0.249108
1.847850e+06,-0.000015,-0.338626
2.511886e+06,-0.000028,-0.460313
3.414549e+06,-0.000051,-0.625727
4.641589e+06,-0.000094,-0.850580
6.309573e+06,-0.000174,-1.156227
8.576959e+06,-0.000321,-1.571689
1.165914e+07,-0.000592,-2.136395
1.584893e+07,-0.001094,-2.903894
2.154435e+07,-0.002021,-3.946854
2.928645e+07,-0.003732,-5.363745
3.981072e+07,-0.006885,-7.287638
5.411695e+07,-0.012686,-9.897473
7.356423e+07,-0.023316,-13.431647
1.000000e+08,-0.042662,-18.202313
1.359356e+08,-0.077428,-24.605053
1.847850e+08,-0.138519,-33.110488
2.511886e+08,-0.241746,-44.210638
3.414549e+08,-0.405165,-58.281277
4.641589e+08,-0.638951,-75.347088
6.309573e+08,-0.928913,-94.853705
8.576959e+08,-1.229767,-115.701526
1.165914e+09,-1.485294,-136.691394
1.584893e+09,-1.658442,-157.098858
2.154435e+09,-1.738724,-176.914012
2.928645e+09,-1.728466,163.360804
3.981072e+09,-1.631536,143.146826
5.411695e+09,-1.456710,122.255320
7.356423e+09,-1.229761,101.197943
1.000000e+10,-0.994915,81.096987
