Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.187575
1.359356e+06,-0.000008,-0.254981
1.847850e+06,-0.000016,-0.346610
2.511886e+06,-0.000029,-0.471165
3.414549e+06,-0.000053,-0.640479
4.641589e+06,-0.000098,-0.870632
6.309573e+06,-0.000182,-1.183484
8.576959e+06,-0.000336,-1.608737
1.165914e+07,-0.000621,-2.186748
1.584893e+07,-0.001147,-2.972322
2.154435e+07,-0.002118,-4.039821
2.928645e+07,-0.003910,-5.489992
3.981072e+07,-0.007213,-7.458932
5.411695e+07,-0.013288,-10.129520
7.356423e+07,-0.024415,-13.745081
1.000000e+08,-0.044648,-18.623443
1.359356e+08,-0.080951,-25.165482
1.847850e+08,-0.144565,-33.843678
2.511886e+08,-0.251547,-45.141993
3.414549e+08,-0.419625,-59.408195
4.641589e+08,-0.657388,-76.611845
6.309573e+08,-0.948010,-96.127789
8.576959e+08,-1.244736,-116.807253
1.165914e+09,-1.493182,-137.456284
1.584893e+09,-1.660155,-157.399630
2.154435e+09,-1.738253,-176.684106
2.928645e+09,-1.731107,164.140195
3.981072e+09,-1.642213,144.442240
5.411695e+09,-1.477972,123.959479
7.356423e+09,-1.260007,103.122298
1.000000e+10,-1.029191,83.015418
