Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.182529
1.359356e+06,-0.000008,-0.248121
1.847850e+06,-0.000015,-0.337285
2.511886e+06,-0.000027,-0.458489
3.414549e+06,-0.000050,-0.623248
4.641589e+06,-0.000093,-0.847211
6.309573e+06,-0.000172,-1.151647
8.576959e+06,-0.000318,-1.565463
1.165914e+07,-0.000588,-2.127933
1.584893e+07,-0.001086,-2.892395
2.154435e+07,-0.002006,-3.931232
2.928645e+07,-0.003703,-5.342532
3.981072e+07,-0.006832,-7.258859
5.411695e+07,-0.012588,-9.858496
7.356423e+07,-0.023136,-13.379020
1.000000e+08,-0.042337,-18.131655
1.359356e+08,-0.076853,-24.511153
1.847850e+08,-0.137534,-32.987965
2.511886e+08,-0.240156,-44.055806
3.414549e+08,-0.402843,-58.095899
4.641589e+08,-0.636059,-75.143633
6.309573e+08,-0.926080,-94.658796
8.576959e+08,-1.227858,-115.552573
1.165914e+09,-1.484759,-136.626628
1.584893e+09,-1.658895,-157.148481
2.154435e+09,-1.739071,-177.097537
2.928645e+09,-1.727276,163.034966
3.981072e+09,-1.627482,142.685675
5.411695e+09,-1.449192,121.689101
7.356423e+09,-1.219440,100.581808
1.000000e+10,-0.983395,80.496397
