Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.187017
1.359356e+06,-0.000008,-0.254223
1.847850e+06,-0.000016,-0.345579
2.511886e+06,-0.000029,-0.469763
3.414549e+06,-0.000053,-0.638574
4.641589e+06,-0.000098,-0.868043
6.309573e+06,-0.000181,-1.179964
8.576959e+06,-0.000334,-1.603953
1.165914e+07,-0.000617,-2.180246
1.584893e+07,-0.001140,-2.963485
2.154435e+07,-0.002106,-4.027816
2.928645e+07,-0.003887,-5.473691
3.981072e+07,-0.007171,-7.436817
5.411695e+07,-0.013210,-10.099569
7.356423e+07,-0.024273,-13.704645
1.000000e+08,-0.044391,-18.569160
1.359356e+08,-0.080497,-25.093358
1.847850e+08,-0.143788,-33.749596
2.511886e+08,-0.250296,-45.023118
3.414549e+08,-0.417802,-59.265745
4.641589e+08,-0.655117,-76.454794
6.309573e+08,-0.945754,-95.974917
8.576959e+08,-1.243120,-116.684114
1.165914e+09,-1.492534,-137.387915
1.584893e+09,-1.660252,-157.404830
2.154435e+09,-1.738434,-176.774428
2.928645e+09,-1.730506,163.959797
3.981072e+09,-1.640008,144.175381
5.411695e+09,-1.473724,123.623141
7.356423e+09,-1.254008,102.748952
1.000000e+10,-1.022354,82.645552
