Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.190949
1.359356e+06,-0.000009,-0.259568
1.847850e+06,-0.000016,-0.352845
2.511886e+06,-0.000030,-0.479641
3.414549e+06,-0.000055,-0.652000
4.641589e+06,-0.000102,-0.886294
6.309573e+06,-0.000188,-1.204773
8.576959e+06,-0.000348,-1.637674
1.165914e+07,-0.000643,-2.226077
1.584893e+07,-0.001189,-3.025767
2.154435e+07,-0.002195,-4.112431
2.928645e+07,-0.004053,-5.588591
3.981072e+07,-0.007476,-7.592704
5.411695e+07,-0.013769,-10.310719
7.356423e+07,-0.025293,-13.989791
1.000000e+08,-0.046232,-18.952128
1.359356e+08,-0.083758,-25.602640
1.847850e+08,-0.149371,-34.415060
2.511886e+08,-0.259308,-45.866762
3.414549e+08,-0.431010,-60.283542
4.641589e+08,-0.671813,-77.592937
6.309573e+08,-0.962898,-97.117958
8.576959e+08,-1.256507,-117.676964
1.165914e+09,-1.499687,-138.084408
1.584893e+09,-1.661998,-157.703720
2.154435e+09,-1.738112,-176.622636
2.928645e+09,-1.732486,164.577281
3.981072e+09,-1.648405,145.233085
5.411695e+09,-1.490852,125.036540
7.356423e+09,-1.278846,104.364605
1.000000e+10,-1.050942,84.273058
