Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.182160
1.359356e+06,-0.000008,-0.247620
1.847850e+06,-0.000015,-0.336604
2.511886e+06,-0.000027,-0.457563
3.414549e+06,-0.000050,-0.621989
4.641589e+06,-0.000093,-0.845500
6.309573e+06,-0.000171,-1.149321
8.576959e+06,-0.000317,-1.562302
1.165914e+07,-0.000585,-2.123636
1.584893e+07,-0.001081,-2.886555
2.154435e+07,-0.001997,-3.923298
2.928645e+07,-0.003688,-5.331754
3.981072e+07,-0.006803,-7.244230
5.411695e+07,-0.012536,-9.838663
7.356423e+07,-0.023041,-13.352192
1.000000e+08,-0.042165,-18.095516
1.359356e+08,-0.076546,-24.462828
1.847850e+08,-0.137001,-32.924182
2.511886e+08,-0.239275,-43.973468
3.414549e+08,-0.401497,-57.993312
4.641589e+08,-0.634232,-75.022228
6.309573e+08,-0.923966,-94.524108
8.576959e+08,-1.225832,-115.412677
1.165914e+09,-1.483177,-136.488277
1.584893e+09,-1.657948,-157.014022
2.154435e+09,-1.738827,-176.964910
2.928645e+09,-1.727788,163.169814
3.981072e+09,-1.628817,142.825544
5.411695e+09,-1.451341,121.832676
7.356423e+09,-1.222215,100.722807
1.000000e+10,-0.986467,80.626070
