Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000004,-0.184453
1.359356e+06,-0.000008,-0.250737
1.847850e+06,-0.000015,-0.340840
2.511886e+06,-0.000028,-0.463322
3.414549e+06,-0.000051,-0.629818
4.641589e+06,-0.000095,-0.856141
6.309573e+06,-0.000176,-1.163786
8.576959e+06,-0.000325,-1.581963
1.165914e+07,-0.000600,-2.150358
1.584893e+07,-0.001109,-2.922869
2.154435e+07,-0.002048,-3.972635
2.928645e+07,-0.003781,-5.398756
3.981072e+07,-0.006976,-7.335143
5.411695e+07,-0.012852,-9.961832
7.356423e+07,-0.023619,-13.518593
1.000000e+08,-0.043209,-18.319168
1.359356e+08,-0.078399,-24.760641
1.847850e+08,-0.140189,-33.314226
2.511886e+08,-0.244459,-44.469856
3.414549e+08,-0.409186,-58.595759
4.641589e+08,-0.644113,-75.701536
6.309573e+08,-0.934313,-95.213149
8.576959e+08,-1.234062,-116.016966
1.165914e+09,-1.487623,-136.914861
1.584893e+09,-1.659016,-157.196037
2.154435e+09,-1.738627,-176.866724
2.928645e+09,-1.729148,163.557051
3.981072e+09,-1.634332,143.481919
5.411695e+09,-1.462286,122.699229
7.356423e+09,-1.237656,101.699457
1.000000e+10,-1.003799,81.595999
